alt,tf,peak_corr,peak_lag_h,corr_lag0,n_windows,roll_peak_lag_median,roll_peak_lag_std,roll_peak_corr_mean,roll_peak_corr_min,pct_windows_lag_le_1candle
ETH,4h,0.807,0,0.807,23,0.0,0.0,0.811,0.674,100.0
SOL,4h,0.772,0,0.772,23,0.0,0.0,0.775,0.644,100.0
LTC,4h,0.612,0,0.612,23,0.0,0.0,0.634,0.504,100.0
AVAX,4h,0.707,0,0.707,23,0.0,0.0,0.715,0.581,100.0
LINK,4h,0.719,0,0.719,23,0.0,0.0,0.739,0.534,100.0
XRP,4h,0.636,0,0.636,23,0.0,0.0,0.671,0.417,100.0
BCH,4h,0.528,0,0.528,23,0.0,0.0,0.519,0.35,100.0
DOGE,4h,0.747,0,0.747,23,0.0,0.0,0.759,0.614,100.0
ADA,4h,0.708,0,0.708,23,0.0,0.0,0.726,0.587,100.0
DOT,4h,0.641,0,0.641,23,0.0,0.0,0.649,0.547,100.0
