alt,IC_A,IC_B,dIC,dirA,dirB,R2_A,R2_B
ETH,-0.0034,0.0184,0.0218,50.0,50.4,-0.0644,-0.0636
SOL,0.0095,0.0134,0.0039,50.2,49.8,-0.0344,-0.0566
LTC,0.0313,0.0389,0.0076,51.6,51.8,-0.0835,-0.0872
AVAX,-0.0124,-0.0161,-0.0037,48.7,48.6,-0.0611,-0.0683
LINK,-0.0178,-0.013,0.0047,48.0,48.4,-0.0637,-0.086
XRP,-0.008,-0.0088,-0.0008,50.0,50.1,-0.0669,-0.0873
BCH,0.113,0.1582,0.0452,53.1,54.5,-0.0129,-0.0117
AAVE,0.0804,0.1138,0.0333,48.3,49.5,-0.0272,-0.0277
DOT,0.0765,0.0897,0.0132,51.5,52.2,-0.0403,-0.041
NEAR,0.0926,0.1112,0.0186,50.5,50.8,-0.0273,-0.033
SUI,0.0234,0.0166,-0.0068,50.2,50.0,-0.0633,-0.0792
ZEC,0.0984,0.1007,0.0023,47.3,47.5,-0.0129,-0.0197
