,alt,lag0_corr,IC_B,dIC,spread_net5_bp,spread_net10_bp,spread_sharpe5,best_regime,best_regime_bp
1,BCH,0.39,0.1582,0.0452,3.76,2.19,6.3,Weak Up,1.08
2,AAVE,0.461,0.1138,0.0333,1.94,0.62,3.09,Weak Up,1.94
3,NEAR,0.523,0.1112,0.0186,2.21,0.76,3.58,Weak Up,0.56
4,ZEC,0.239,0.1007,0.0023,3.81,2.66,3.23,Weak Up,3.97
5,DOT,0.538,0.0897,0.0132,1.03,-0.35,1.95,Weak Up,1.32
6,LTC,0.557,0.0389,0.0076,0.44,-0.89,0.95,Weak Up,2.08
7,ETH,0.791,0.0184,0.0218,-0.61,-1.71,-2.27,Weak Up,2.63
8,SUI,0.581,0.0166,-0.0068,0.23,-1.02,0.41,Weak Up,3.33
9,SOL,0.747,0.0134,0.0039,-0.4,-1.57,-1.15,Weak Up,2.0
10,XRP,0.624,-0.0088,-0.0008,-0.91,-1.99,-1.88,Weak Up,2.68
11,LINK,0.681,-0.013,0.0047,-0.1,-1.37,-0.24,Weak Up,3.01
12,AVAX,0.661,-0.0161,-0.0037,-0.04,-1.26,-0.09,Weak Up,1.91
