feature,in_IL,mean_IC,abs_IC,consistency,std_IC
fisher_wr,False,-0.0695,0.0695,1.0,0.0414
fast_diff,True,0.0676,0.0676,1.0,0.0391
fastk_scaled,True,-0.0675,0.0675,1.0,0.0425
dymi_scaled,False,-0.0643,0.0643,1.0,0.0358
dymi,False,-0.0643,0.0643,1.0,0.0358
rsi_scaled,True,-0.0607,0.0607,1.0,0.0349
bb_position,True,-0.0602,0.0602,1.0,0.0367
cci_scaled,True,-0.0512,0.0512,1.0,0.0322
cci,False,-0.0511,0.0511,1.0,0.0323
close_norm,False,-0.0508,0.0508,1.0,0.0316
vwap_ratio,False,0.0443,0.0443,1.0,0.0276
fastd_scaled,False,-0.0421,0.0421,1.0,0.0278
sar_ratio,True,0.0398,0.0398,1.0,0.0259
vwap_pos,True,0.0383,0.0383,1.0,0.025
vwap_neg,True,-0.0379,0.0379,1.0,0.0246
guard_metric,False,-0.0366,0.0366,1.0,0.0209
guard_metric_neg,True,0.0366,0.0366,1.0,0.0209
guard_metric_pos,True,-0.0365,0.0365,1.0,0.0209
rsi_sma,False,-0.0326,0.0326,1.0,0.0179
gain_norm,True,0.0309,0.0309,1.0,0.0228
macd,False,-0.0307,0.0307,1.0,0.0183
plus_di_scaled,False,-0.029,0.029,1.0,0.0133
macdhist,False,-0.0288,0.0288,1.0,0.0189
minus_di_scaled,False,0.027,0.027,0.92,0.018
macdhist_norm,True,-0.0269,0.0269,1.0,0.0186
di_diff_scaled,True,-0.0257,0.0257,1.0,0.0185
ema_fast_norm,True,-0.0252,0.0252,1.0,0.0132
sar_trend,False,-0.024,0.024,1.0,0.0165
mod_sin,False,-0.0238,0.0238,0.92,0.0172
macdsignal,False,-0.0229,0.0229,1.0,0.016
ss_close,False,-0.0223,0.0223,1.0,0.0066
aroonosc,False,-0.0222,0.0222,1.0,0.0137
fisher_ss,True,-0.0222,0.0222,0.92,0.0162
aroonosc_scaled,True,-0.0222,0.0222,1.0,0.0137
bb_lowerband,False,-0.0214,0.0214,1.0,0.0063
ema_fast,False,-0.0209,0.0209,1.0,0.0063
bb_middleband,False,-0.0206,0.0206,1.0,0.0063
macd_norm,False,-0.02,0.02,0.92,0.017
bb_upperband,False,-0.0191,0.0191,1.0,0.0062
mfi_scaled,True,-0.0178,0.0178,0.92,0.0156
macd_neg,True,0.0177,0.0177,0.92,0.0142
atr_norm,True,0.0174,0.0174,1.0,0.0066
mod_cos,False,0.0161,0.0161,0.83,0.0142
macd_pos,True,-0.0156,0.0156,0.92,0.014
trend_mode,False,0.0142,0.0142,0.92,0.014
log_volume,False,0.0141,0.0141,0.92,0.0076
bb_width,True,0.0141,0.0141,0.92,0.0101
log_volume_norm,False,0.0138,0.0138,0.92,0.008
atr_pct,False,0.0133,0.0133,1.0,0.0076
doy_sin,False,-0.0119,0.0119,0.92,0.0053
dow_cos,False,-0.0113,0.0113,0.83,0.0111
ad_scaled,False,-0.0107,0.0107,0.67,0.0157
rvol,False,0.0107,0.0107,0.92,0.0057
adx,False,0.0107,0.0107,0.75,0.014
adx_scaled,True,0.0097,0.0097,0.75,0.014
macdsignal_norm,False,-0.0091,0.0091,0.83,0.0132
atr_pct_roll,False,0.0086,0.0086,0.92,0.0072
doy_cos,False,-0.0076,0.0076,1.0,0.0043
spread_ma,True,0.0059,0.0059,0.75,0.0095
dymi_period,False,-0.005,0.005,0.83,0.0053
dow_sin,False,-0.0049,0.0049,0.75,0.0072
obv_scaled,False,-0.0013,0.0013,0.58,0.0136
cg_ss,True,-0.0007,0.0007,0.58,0.0091
