pair,set,n_feat,IC,dir
ETH,BASE,24,0.025749202021878796,0.5087171480614103
ETH,S3,18,0.021554736387937815,0.5079365079365079
SOL,BASE,24,0.007674289170298737,0.4959229701596114
SOL,S3,18,0.018268238948911768,0.5058986814712005
LTC,BASE,24,0.010696246404243376,0.5055517002081887
LTC,S3,18,0.03724308414379459,0.5156141568355309
AVAX,BASE,24,-0.0027329560990940987,0.48846287300485774
AVAX,S3,18,0.008519223314931103,0.48967730742539906
LINK,BASE,24,0.002675330439066985,0.4904580152671756
LINK,S3,18,0.001259844007434021,0.4902845246356697
XRP,BASE,24,0.004831507378981792,0.51205759888966
XRP,S3,18,0.01780491926819484,0.49887231089521167
BCH,BASE,24,0.11560616442459185,0.5337439278278973
BCH,S3,18,0.12064071760815885,0.5335704371963914
AAVE,BASE,24,0.0810223265134424,0.48091603053435117
AAVE,S3,18,0.06869104921988857,0.4784004163775156
DOT,BASE,24,0.07493819028697137,0.513619014573213
DOT,S3,18,0.06337621218574106,0.5111034004163775
NEAR,BASE,24,0.0945648030175534,0.5015614156835531
NEAR,S3,18,0.09189295458083661,0.5025156141568355
SUI,BASE,24,0.029806259635687074,0.5052047189451769
SUI,S3,18,0.02867343248528511,0.5091950034698126
ZEC,BASE,24,0.07165167662362205,0.4632199861207495
ZEC,S3,18,0.07362746219535395,0.46538861901457323
